RESULT: fit=0.00135869565217, mut = 0.05, mut_change = 0.03, cx = 0.5, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.1, mut_change = 0.03, cx = 0.5, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.1, mut_change = 0.1, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.1, mut_change = 0.1, cx = 0.3, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.1, mut_change = 0.1, cx = 0.5, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.1, mut_change = 0.1, cx = 0.5, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.03, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.03, cx = 0.5, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.05, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.05, cx = 0.3, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.05, cx = 0.5, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.1, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.1, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.1, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.2, mut_change = 0.1, cx = 0.5, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.01, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.01, cx = 0.5, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.03, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.03, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.03, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.03, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.2, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.05, cx = 0.3, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00135869565217, mut = 0.3, mut_change = 0.1, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
