RESULT: fit=0.000100050025013, mut = 0.01, mut_change = 0.01, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000103018440301, mut = 0.3, mut_change = 0.2, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000103982530935, mut = 0.01, mut_change = 0.2, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000107933081489, mut = 0.01, mut_change = 0.05, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000108213396819, mut = 0.01, mut_change = 0.1, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000112447992803, mut = 0.01, mut_change = 0.03, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000113999088007, mut = 0.01, mut_change = 0.01, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000117068602201, mut = 0.01, mut_change = 0.05, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000117315814172, mut = 0.05, mut_change = 0.01, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000120510966498, mut = 0.03, mut_change = 0.03, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00012144765606, mut = 0.01, mut_change = 0.03, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000136109976861, mut = 0.1, mut_change = 0.03, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00013783597519, mut = 0.01, mut_change = 0.03, cx = 0.3, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000139840581737, mut = 0.2, mut_change = 0.1, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000144990575613, mut = 0.1, mut_change = 0.2, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000145560407569, mut = 0.01, mut_change = 0.3, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000154202004626, mut = 0.05, mut_change = 0.03, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000158503724838, mut = 0.2, mut_change = 0.03, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000164744645799, mut = 0.3, mut_change = 0.03, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000174337517434, mut = 0.3, mut_change = 0.1, cx = 0.2, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000200240288346, mut = 0.01, mut_change = 0.3, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
